country,score
Afghanistan,4
Albania,56
Algeria,0
Angola,19
Antigua and Barbuda,79
Argentina,17
Armenia,30
Australia,8
Austria,34
Azerbaijan,14
Bahamas,78
Bahrain,95
Bangladesh,1
Belarus,23
Belgium,23
Benin,26
Bhutan,6
Bolivia,29
Bosnia and Herzegovina,11
Botswana,19
Brazil,26
Bulgaria,14
Burkina Faso,17
Burundi,49
Cambodia,22
Cameroon,47
Canada,0
Cape Verde,26
Central African Republic,2
Chad,1
Chile,3
China,25
Colombia,2
Comoros,3
Congo,0
Costa Rica,31
Croatia,50
Cuba,78
Cyprus,0
Czech Republic,12
Democratic Republic of the Congo,45
Denmark,11
Djibouti,31
Dominican Republic,78
East Timor,13
Ecuador,21
Egypt,2
El Salvador,32
Equatorial Guinea,41
Eritrea,3
Estonia,7
Ethiopia,2
Federated States of Micronesia,29
Fiji,10
Finland,7
France,5
Gabon,2
Gambia,15
Georgia,17
Germany,37
Ghana,18
Greece,11
Guatemala,16
Guinea,7
Guinea-Bissau,17
Guyana,69
Haiti,65
Honduras,25
Hungary,24
India,5
Indonesia,9
Iran,11
Iraq,0
Ireland,2
Israel,15
Italy,10
Ivory Coast,4
Jamaica,66
Japan,0
Jordan,0
Kazakhstan,11
Kenya,35
Kiribati,10
Kuwait,0
Kyrgyzstan,12
Laos,19
Latvia,150
Lebanon,7
Lesotho,29
Liberia,2
Libya,0
Lithuania,8
Luxembourg,5
Macedonia,17
Madagascar,68
Malawi,5
Malaysia,7
Maldives,27
Mali,20
Marshall Islands,47
Mauritania,1
Mauritius,49
Mexico,19
Moldova,30
Mongolia,4
Morocco,21
Mozambique,5
Myanmar,13
Nepal,23
Namibia,33
Netherlands,15
New Zealand,13
Nicaragua,29
Niger,23
Nigeria,5
North Korea,10
Norway,6
Oman,0
Pakistan,12
Palestine,0
Panama,13
Papua New Guinea,0
Paraguay,5
Peru,21
Philippines,15
Poland,5
Portugal,27
Qatar,0
Romania,80
Russia,208
Rwanda,10
Samoa,21
São Tomé and Príncipe,5
Saudi Arabia,0
Senegal,14
Serbia,4
Seychelles,62
Sierra Leone,325
Singapore,0
Slovakia,40
Slovenia,140
Somalia,7
South Africa,4
South Korea,0
South Sudan,4
Spain,15
Sri Lanka,7
Sudan,53
Suriname,39
Swaziland,30
Sweden,3
Switzerland,24
Syria,14
Taiwan,43
Tajikistan,16
Tanzania,29
Thailand,20
Togo,13
Tonga,93
Tunisia,22
Turkey,18
Turkmenistan,10
Tuvalu,9
Trinidad and Tobago,7.3
Uganda,0
Ukraine,18
United Arab Emirates,32
United Kingdom,11
United States,31
Uruguay,24
Uzbekistan,7
Vanuatu,74
Venezuela,150
Vietnam,7
Yemen,20
Zambia,6
Zimbabwe,8
